2015-1-1,64
2015-1-8,64
2015-1-15,66
2015-1-22,66
2015-1-29,66
2015-2-5,72
2015-2-12,72
2015-2-19,72
2015-2-26,72
2015-3-5,72
2015-3-12,72
2015-3-19,72
2015-3-26,72
2015-4-2,87
2015-4-9,87
2015-4-16,93
2015-4-23,89
2015-4-30,87
2015-5-7,114
2015-5-14,119
2015-5-21,114
2015-5-28,119
2015-6-4,125
2015-6-11,125
2015-6-18,126
2015-6-25,126
2015-7-2,137
2015-7-9,137
2015-7-16,138
2015-7-23,137
2015-7-30,137
2015-8-6,167
2015-8-13,167
2015-8-20,167
2015-8-27,177
2015-9-3,296
2015-9-10,296
2015-9-17,297
2015-9-24,297
2015-10-1,353
2015-10-8,399
2015-10-15,449
2015-10-22,454
2015-10-29,508
2015-11-5,515
2015-11-12,582
2015-11-19,614
2015-11-26,626
